customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent
CUST00146,9/25/2024,Tier 2,35-44,Instagram,Silver,Makeup,Combination,Yes
CUST00147,3/31/2025,Tier 3,45+,Influencer,Platinum,Makeup,NA,Yes
CUST00148,6/27/2024,Tier 2,35-44,Instagram,None,Skin Care,Combination,Yes
CUST00149,7/18/2025,Tier 3,18-24,Instagram,None,Makeup,Combination,Yes
CUST00150,11/20/2024,Tier 2,25-34,Marketplace,None,Fragrance,Normal,Yes
CUST00151,2/26/2024,Tier 2,35-44,Google Search,None,Wellness,Dry,Yes
CUST00152,9/13/2024,Tier 3,18-24,Google Search,Silver,Baby Care,Oily,Yes
CUST00153,9/11/2025,Tier 3,25-34,Instagram,Gold,Skin Care,NA,No
CUST00154,2/1/2024,Tier 2,25-34,Google Search,Gold,Hair Care,NA,Yes
CUST00155,3/1/2025,Tier 1,25-34,Marketplace,None,Makeup,NA,No
CUST00156,6/11/2025,Tier 1,25-34,Referral,None,Skin Care,Oily,Yes
CUST00157,6/12/2024,Tier 3,35-44,Marketplace,None,Skin Care,Normal,Yes
CUST00158,2/6/2025,Tier 3,25-34,Instagram,None,Skin Care,Combination,Yes
CUST00159,1/9/2024,Tier 2,35-44,Organic,Silver,Makeup,Sensitive,Yes
CUST00160,10/22/2024,Tier 2,18-24,Organic,None,Wellness,NA,Yes
CUST00161,12/13/2024,Tier 1,25-34,Instagram,Silver,Hair Care,Oily,Yes
CUST00162,4/12/2025,Tier 3,18-24,Instagram,Gold,Hair Care,Combination,No
CUST00163,6/5/2025,Tier 2,25-34,Google Search,Silver,Hair Care,NA,Yes
CUST00164,1/28/2024,Tier 1,25-34,Marketplace,Platinum,Baby Care,Dry,No
CUST00165,1/24/2025,Tier 2,18-24,Instagram,Gold,Skin Care,Oily,Yes
CUST00166,5/28/2025,Tier 3,35-44,Organic,Silver,Skin Care,Dry,Yes
CUST00167,1/20/2025,Tier 1,25-34,Influencer,None,Hair Care,NA,Yes
CUST00168,9/9/2024,Tier 1,25-34,Influencer,Platinum,Makeup,NA,Yes
CUST00169,10/7/2024,Tier 2,25-34,Referral,Gold,Hair Care,Sensitive,No
CUST00170,3/21/2024,Tier 2,25-34,Google Search,None,Skin Care,Normal,Yes
CUST00171,8/23/2025,Tier 1,25-34,Influencer,None,Skin Care,Oily,Yes
CUST00172,1/6/2024,Tier 3,45+,Instagram,Silver,Fragrance,Combination,Yes
CUST00173,3/1/2024,Tier 1,45+,Referral,None,Makeup,Oily,No
CUST00174,2/7/2024,Tier 1,45+,Referral,Gold,Wellness,Sensitive,No
CUST00175,12/9/2024,Tier 3,25-34,Referral,None,Wellness,Normal,Yes
CUST00176,4/14/2025,Tier 2,25-34,Instagram,None,Skin Care,NA,No
CUST00177,3/13/2025,Tier 1,25-34,Marketplace,None,Skin Care,Sensitive,No
CUST00178,9/30/2024,Tier 1,45+,Marketplace,None,Baby Care,NA,Yes
CUST00179,5/29/2025,Tier 3,45+,Organic,Silver,Baby Care,Sensitive,Yes
CUST00180,4/10/2025,Tier 2,35-44,Google Search,None,Hair Care,Normal,No
CUST00181,9/2/2025,Tier 1,35-44,Referral,Silver,Skin Care,Normal,Yes
CUST00182,7/3/2025,Tier 1,18-24,Referral,None,Skin Care,Normal,Yes
CUST00183,5/15/2024,Tier 2,25-34,Instagram,None,Fragrance,NA,Yes
CUST00184,3/15/2024,Tier 1,18-24,Instagram,Platinum,Wellness,Oily,No
CUST00185,5/18/2024,Tier 3,35-44,Marketplace,None,Wellness,Combination,Yes
CUST00186,7/6/2025,Tier 3,18-24,Instagram,Platinum,Hair Care,Dry,No
CUST00187,11/1/2024,Tier 2,25-34,Referral,None,Skin Care,Combination,Yes
CUST00188,4/25/2024,Tier 2,18-24,Marketplace,Gold,Fragrance,Dry,Yes
CUST00189,2/19/2024,Tier 1,25-34,Referral,None,Makeup,Oily,Yes
CUST00190,8/12/2025,Tier 2,25-34,Marketplace,None,Hair Care,Dry,No
CUST00191,7/24/2025,Tier 3,45+,Influencer,Silver,Hair Care,Combination,Yes
CUST00192,6/21/2025,Tier 1,25-34,Instagram,None,Makeup,Combination,Yes
CUST00193,4/19/2025,Tier 2,45+,Influencer,None,Skin Care,Dry,Yes
CUST00194,1/14/2025,Tier 2,18-24,Instagram,None,Makeup,Normal,Yes
CUST00195,7/26/2025,Tier 1,18-24,Influencer,None,Wellness,Dry,No
CUST00196,5/5/2025,Tier 2,45+,Marketplace,None,Skin Care,Sensitive,No
CUST00197,9/24/2024,Tier 3,25-34,Referral,Silver,Makeup,Sensitive,No
CUST00198,8/14/2024,Tier 1,35-44,Referral,Silver,Makeup,Sensitive,Yes
CUST00199,5/26/2025,Tier 3,25-34,Google Search,Silver,Hair Care,NA,Yes
CUST00200,6/22/2024,Tier 2,18-24,Instagram,Gold,Wellness,Oily,Yes
CUST00201,2/19/2024,Tier 1,35-44,Organic,None,Makeup,Oily,Yes
CUST00202,5/9/2025,Tier 1,25-34,Referral,None,Skin Care,NA,Yes
CUST00203,3/16/2025,Tier 3,35-44,Instagram,None,Skin Care,Dry,Yes
CUST00204,3/21/2024,Tier 1,25-34,Referral,Platinum,Skin Care,NA,No
CUST00205,2/2/2024,Tier 1,18-24,Referral,None,Skin Care,Dry,Yes
CUST00206,4/7/2024,Tier 3,35-44,Instagram,Gold,Makeup,Normal,Yes
CUST00207,7/10/2025,Tier 1,25-34,Influencer,None,Wellness,Normal,Yes
CUST00208,11/2/2024,Tier 1,18-24,Organic,None,Fragrance,Sensitive,Yes
CUST00209,3/21/2024,Tier 3,25-34,Instagram,None,Fragrance,Sensitive,Yes
CUST00210,11/30/2024,Tier 1,18-24,Influencer,None,Hair Care,Combination,Yes
CUST00211,10/29/2024,Tier 2,35-44,Instagram,None,Makeup,NA,Yes
CUST00212,11/11/2024,Tier 2,25-34,Instagram,None,Hair Care,Normal,Yes
CUST00213,4/5/2024,Tier 3,25-34,Organic,None,Hair Care,Oily,No
CUST00214,6/17/2025,Tier 1,18-24,Instagram,None,Hair Care,Oily,Yes
CUST00215,1/4/2025,Tier 1,25-34,Marketplace,Silver,Skin Care,Oily,Yes
CUST00216,1/24/2025,Tier 1,35-44,Google Search,Silver,Fragrance,Normal,Yes
CUST00217,11/17/2024,Tier 1,18-24,Google Search,Silver,Baby Care,Normal,No
CUST00218,1/8/2025,Tier 2,18-24,Marketplace,None,Makeup,Normal,Yes
CUST00219,10/25/2024,Tier 1,35-44,Organic,Silver,Makeup,Dry,Yes
CUST00220,1/21/2025,Tier 3,18-24,Referral,None,Hair Care,NA,Yes
CUST00221,7/3/2025,Tier 3,25-34,Instagram,None,Makeup,Dry,Yes
CUST00222,2/13/2025,Tier 1,45+,Organic,None,Skin Care,Dry,Yes
CUST00223,4/1/2025,Tier 2,25-34,Marketplace,Silver,Skin Care,Oily,Yes
CUST00224,5/25/2024,Tier 1,25-34,Organic,None,Hair Care,Oily,Yes
CUST00225,4/27/2024,Tier 1,18-24,Instagram,Silver,Wellness,NA,Yes
CUST00226,4/18/2025,Tier 1,25-34,Instagram,Silver,Hair Care,Oily,No
CUST00227,1/5/2024,Tier 1,35-44,Marketplace,Silver,Skin Care,Oily,No
CUST00228,4/26/2024,Tier 3,25-34,Referral,Silver,Baby Care,Normal,Yes
CUST00229,6/25/2024,Tier 2,35-44,Google Search,Silver,Skin Care,Dry,Yes
CUST00230,5/24/2024,Tier 1,25-34,Instagram,None,Skin Care,NA,Yes
CUST00231,6/19/2024,Tier 1,25-34,Google Search,None,Skin Care,Sensitive,No
CUST00232,7/29/2025,Tier 2,25-34,Marketplace,None,Fragrance,Combination,Yes
CUST00233,2/3/2024,Tier 2,25-34,Instagram,None,Makeup,Combination,Yes
CUST00234,1/10/2025,Tier 2,25-34,Organic,None,Skin Care,Combination,Yes
CUST00235,2/3/2024,Tier 1,25-34,Organic,None,Wellness,Dry,Yes
CUST00236,3/14/2025,Tier 1,18-24,Instagram,None,Skin Care,Sensitive,Yes
CUST00237,10/26/2024,Tier 1,25-34,Organic,Platinum,Makeup,Oily,Yes
CUST00238,10/10/2024,Tier 1,35-44,Organic,None,Makeup,Dry,No
CUST00239,10/2/2024,Tier 1,25-34,Instagram,Silver,Makeup,Combination,Yes
CUST00240,5/14/2025,Tier 1,25-34,Organic,Silver,Makeup,Combination,Yes
CUST00241,2/11/2025,Tier 2,18-24,Instagram,None,Fragrance,Sensitive,Yes
CUST00242,2/19/2024,Tier 2,18-24,Organic,None,Wellness,Dry,Yes
CUST00243,5/15/2024,Tier 1,35-44,Organic,Gold,Skin Care,Sensitive,Yes
CUST00244,2/9/2025,Tier 2,25-34,Marketplace,None,Skin Care,Oily,Yes
CUST00245,3/31/2025,Tier 2,18-24,Organic,Platinum,Hair Care,Dry,Yes
CUST00246,4/15/2024,Tier 3,25-34,Instagram,Silver,Makeup,Dry,Yes
CUST00247,6/17/2024,Tier 2,25-34,Marketplace,None,Hair Care,NA,Yes
CUST00248,5/6/2024,Tier 1,25-34,Influencer,None,Skin Care,Sensitive,Yes
CUST00249,10/18/2024,Tier 2,35-44,Organic,Silver,Hair Care,Normal,Yes
CUST00250,9/2/2024,Tier 1,25-34,Referral,Silver,Baby Care,Oily,No
CUST00251,8/5/2025,Tier 2,25-34,Instagram,None,Wellness,Oily,Yes
CUST00252,3/2/2024,Tier 1,45+,Google Search,Silver,Makeup,Combination,Yes
CUST00253,10/11/2024,Tier 1,18-24,Influencer,Platinum,Skin Care,Sensitive,Yes
CUST00254,3/8/2024,Tier 2,25-34,Influencer,None,Skin Care,Combination,Yes
CUST00255,6/28/2024,Tier 2,18-24,Marketplace,None,Wellness,Normal,Yes
CUST00256,10/2/2024,Tier 1,35-44,Organic,None,Hair Care,Normal,Yes
CUST00257,4/11/2025,Tier 1,25-34,Organic,None,Skin Care,Oily,No
CUST00258,1/3/2024,Tier 3,18-24,Google Search,None,Hair Care,Dry,Yes
CUST00259,3/5/2025,Tier 1,25-34,Influencer,None,Fragrance,Normal,Yes
CUST00260,6/12/2025,Tier 3,45+,Instagram,None,Skin Care,Sensitive,Yes
CUST00261,7/31/2025,Tier 2,35-44,Google Search,None,Wellness,Dry,No
CUST00262,2/23/2025,Tier 2,18-24,Marketplace,Silver,Skin Care,Sensitive,Yes
CUST00263,4/16/2024,Tier 3,18-24,Google Search,Platinum,Wellness,Dry,Yes
CUST00264,6/16/2025,Tier 3,25-34,Referral,Silver,Baby Care,Normal,Yes
CUST00265,3/21/2025,Tier 1,35-44,Google Search,Gold,Wellness,Combination,Yes
CUST00266,3/17/2024,Tier 1,45+,Organic,None,Skin Care,Combination,Yes
CUST00267,7/31/2024,Tier 2,25-34,Organic,None,Fragrance,Sensitive,No
CUST00268,12/1/2024,Tier 2,18-24,Influencer,None,Skin Care,Sensitive,Yes
CUST00269,4/8/2025,Tier 2,25-34,Instagram,None,Makeup,Oily,Yes
CUST00270,2/14/2025,Tier 2,25-34,Marketplace,Silver,Skin Care,Oily,Yes
CUST00271,5/11/2024,Tier 3,18-24,Organic,None,Wellness,Oily,Yes
CUST00272,1/31/2024,Tier 2,25-34,Google Search,Gold,Skin Care,Combination,No
CUST00273,10/29/2024,Tier 3,25-34,Referral,None,Hair Care,Combination,Yes
CUST00274,7/10/2025,Tier 3,35-44,Organic,None,Baby Care,Combination,Yes
CUST00275,1/27/2024,Tier 1,25-34,Organic,Silver,Skin Care,Combination,Yes
CUST00276,4/12/2024,Tier 1,25-34,Referral,Silver,Makeup,Dry,Yes
CUST00277,6/26/2024,Tier 2,18-24,Organic,Silver,Wellness,Oily,Yes
CUST00278,7/11/2024,Tier 3,35-44,Influencer,None,Skin Care,Oily,Yes
CUST00279,1/1/2024,Tier 2,25-34,Organic,None,Skin Care,Sensitive,Yes
CUST00280,4/23/2024,Tier 3,35-44,Influencer,None,Wellness,Combination,Yes
CUST00281,3/23/2025,Tier 3,35-44,Marketplace,None,Wellness,NA,No
CUST00282,6/28/2024,Tier 2,25-34,Google Search,None,Skin Care,NA,No
CUST00283,2/3/2024,Tier 1,18-24,Organic,Silver,Baby Care,Oily,No
CUST00284,11/23/2024,Tier 3,18-24,Instagram,Silver,Baby Care,Sensitive,Yes
CUST00285,9/19/2024,Tier 2,35-44,Instagram,None,Hair Care,Dry,No
CUST00286,4/13/2024,Tier 3,35-44,Referral,Silver,Skin Care,Combination,Yes
CUST00287,4/17/2024,Tier 1,18-24,Google Search,Silver,Baby Care,Oily,Yes
CUST00288,3/17/2025,Tier 1,45+,Organic,None,Skin Care,Dry,No
CUST00289,7/7/2025,Tier 1,25-34,Instagram,None,Baby Care,Combination,Yes
CUST00290,9/6/2025,Tier 1,25-34,Instagram,Silver,Wellness,Combination,No
CUST00291,9/28/2024,Tier 2,18-24,Instagram,Gold,Hair Care,Combination,Yes
CUST00292,7/31/2025,Tier 2,18-24,Marketplace,None,Hair Care,Normal,Yes
CUST00293,1/31/2025,Tier 1,35-44,Referral,Gold,Hair Care,Dry,Yes
CUST00294,5/29/2025,Tier 2,25-34,Referral,Platinum,Skin Care,Combination,Yes
CUST00295,5/9/2024,Tier 1,18-24,Marketplace,None,Fragrance,Dry,No
CUST00296,3/9/2024,Tier 2,18-24,Referral,Gold,Hair Care,Oily,No
CUST00297,2/28/2025,Tier 2,18-24,Marketplace,Platinum,Skin Care,Oily,Yes
CUST00298,12/18/2024,Tier 1,35-44,Marketplace,None,Hair Care,Dry,Yes
CUST00299,2/9/2024,Tier 3,25-34,Marketplace,None,Hair Care,Sensitive,No
CUST00300,10/14/2024,Tier 3,35-44,Marketplace,Platinum,Skin Care,Sensitive,No
CUST00301,3/2/2025,Tier 1,25-34,Referral,Gold,Hair Care,Combination,No
CUST00302,6/11/2024,Tier 2,18-24,Google Search,Silver,Baby Care,Normal,Yes
CUST00303,9/12/2024,Tier 1,18-24,Google Search,None,Hair Care,Combination,Yes
CUST00304,1/16/2025,Tier 2,25-34,Influencer,None,Baby Care,Sensitive,Yes
CUST00305,10/18/2024,Tier 1,18-24,Organic,Silver,Skin Care,Dry,Yes
CUST00306,1/21/2024,Tier 3,35-44,Marketplace,None,Skin Care,Dry,Yes
CUST00307,11/8/2024,Tier 2,35-44,Google Search,Gold,Fragrance,Combination,Yes
CUST00308,2/10/2025,Tier 1,25-34,Influencer,Platinum,Fragrance,Normal,Yes
CUST00309,3/6/2024,Tier 1,25-34,Google Search,None,Baby Care,NA,Yes
CUST00310,9/6/2025,Tier 1,25-34,Instagram,None,Hair Care,Sensitive,Yes
CUST00311,8/8/2025,Tier 1,35-44,Marketplace,Silver,Baby Care,Combination,No
CUST00312,7/25/2025,Tier 1,18-24,Instagram,None,Fragrance,Dry,No
CUST00313,8/16/2024,Tier 1,35-44,Organic,None,Skin Care,Sensitive,Yes
CUST00314,8/17/2025,Tier 1,45+,Organic,None,Fragrance,Combination,Yes
CUST00315,7/24/2024,Tier 3,25-34,Organic,Platinum,Skin Care,NA,Yes
